Make	Model	MakeCode	FamilyCode	YearGroup	MonthGroup	SequenceNum	Description	CurrentRelease	ImportFlag	LimitedEdition	Series	SeriesModelYear	BadgeDescription	BadgeSecondaryDescription	BodyStyleDescription	BodyConfigDescription	WheelBaseConfig	Roofline	ExtraIdentification	DriveDescription	DriveCode	GearTypeDescription	GearLocationDescription	GearNum	DoorNum	EngineSize	EngineDescription	Cylinders	FuelTypeDescription	InductionDescription	OptionCategory	CamDescription	EngineTypeDescription	FuelCapacity	FuelDeliveryDescription	MethodOfDeliveryDescription	GrossCombinationMAss	GrossVehicleMass	VIN	WheelBase	Height	Length	Width	KerbWeight	TareMass	PayLoad	Power	PowerRPMFrom	PowerRPMTo	Torque	TorqueRPMFrom	TorqueRPMTo	RonRating	SeatCapacity	ModelCode	BuildCountryOriginDescription	ValvesCylinder	EngineCycleDescription	EngineConfigurationDescription	EngineLocation	EngineNum	Acceleration	FrontTyreSize	RearTyreSize	FrontRimDesc	RearRimDesc	TowingBrakes	TowingNoBrakes	WarrantyCustAssist	FreeScheduledService	WarrantyYears	WarrantyKM	FirstServiceKM	FirstServiceMonths	RegServiceMonths	AltEngEngineType	AltEngBatteryType	AltEngCurrentType	AltEngAmpHours	AltEngVolts	AltEngChargingMethod	AltEngPower	AltEngPowerFrom	AltEngPowerTo	AltEngTorque	AltEngTorqueFrom	AltEngTorqueTo	AltEngDrive	NormalChargeMins	QuickChargeMins	NormalChargeVoltage	QuickChargeVoltage	KMRangeElectricEng	ElectricEngineLocation	TopSpeedElectricEng	GreenhouseRating	AirpollutionRating	OverallGreenStarRating	CO2Combined	CO2Urban	CO2ExtraUrban	FuelUrban	FuelExtraurban	FuelCombined	EmissionStandard	MaxEthanolBlend	AncapRating	VFactsClass	VFactsSegment	VFactsPrice	IsPPlateApproved	AverageKM	GoodKM	AvgWholesale	AvgRetail	GoodWholesale	GoodRetail	TradeMin	TradeMax	PrivateMax	NewPrice	Colour	Branch	SaleCategory	Sold_Date	Compliance_Date	Age_Comp_Months	KM	Sold_Amount
Ford	Ranger	FORD	RANGER	2014	0	4	PX XL Hi-Rider Cab Chassis Single Cab 2dr Spts Auto 6sp 4x2 1514kg 2.2DT	F	L	F	PX	NULL	XL	Hi-Rider	Cab Chassis	Single Cab	NULL	NULL	NULL	Rear Wheel Drive	RWD	Sports Automatic	Floor	6	2	2198	2.2	4	Diesel	Turbo Intercooled	CC	Double Overhead Cam	Piston	80	Direct Injection	Electronic Sequential	6000	3200	MNAUMAF80C*######	3220	1800	5110	1850	1686	NULL	1514	110.00	NULL	3700	375	1500	2500	NULL	2	iTDX9AR	THAILAND	4	4 Stroke	In-line	Front	P4AT-######	NULL	255/70 R16	255/70 R16	16x7.0	16x7.0	3500	750	1 year roadside	NULL	3	100000	NULL	NULL	12	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	238	NULL	NULL	NULL	NULL	8.90	NULL	NULL	4	Light Commercial	PU/CC 4X2	NULL	T	90	60	16450	20100	18450	22400	14500	16600	20400	30740	White	Wagga Wagga (NSW)	Auction	2017-08-31 00:00:00.000	04/2014	40	19963	18000.00
Toyota	Kluger	TOYO	KLUGER	2015	11	11	GSU55R Grande Wagon 7st 5dr Spts Auto 6sp AWD 3.5i	F	L	F	GSU55R	NULL	Grande	NULL	Wagon	NULL	NULL	NULL	NULL	Four Wheel Drive	4WD	Sports Automatic	Floor	6	5	3456	3.5	6	Petrol - Unleaded ULP	Aspirated	SUV	DOHC with VVT	Piston	72	Multi-Point Injection	Electronic Sequential	NULL	2740	5TDDK3FHX0S######	2790	1730	4865	1925	2065	2020	675	201.00	NULL	6200	337	NULL	4700	91	7	GSU55R-ARTGKQ	UNITED STATES	4	4 Stroke	V	Front	2GR#######	NULL	245/55 R19	245/55 R19	19x7.5J	19x7.5J	2000	700	NULL	NULL	3	100000	10000	6	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5.00	7.50	3.50	246	334	192	14.40	8.40	10.60	Euro 4	NULL	5	SUV	Large	< $70K	T	50	30	45550	53200	49600	57650	42400	46600	53400	68330	218 - Eclipse Black (T)	Sunshine (VIC)	Dealer Only Auction	2017-05-10 00:00:00.000	02/2016	15	13176	53250.00
Subaru	Liberty	SUBA	LIBERTY	2012	0	1	B5 MY12 2.5i Sedan 4dr Lineartronic 6sp AWD	F	L	F	B5	MY12	2.5i	NULL	Sedan	NULL	NULL	NULL	NULL	Four Wheel Drive	4WD	Constantly Variable Transmission	S/Wheel & Floor	6	4	2457	2.5	4	Petrol - Unleaded ULP	Aspirated	PASS	OHC with VVT & Lift	Piston	65	Multi-Point Injection	Electronic Sequential	NULL	NULL	JF1BM9K92CG##2###	2750	1505	4745	1780	NULL	1432	NULL	123.00	NULL	5600	229	NULL	4000	91	5	BM9CK49	JAPAN	4	4 Stroke	Horizontal	Front	NULL	10.10	215/50 R17	215/50 R17	17x7.5	17x7.5	1500	750	NULL	NULL	3	-1	12500	6	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	6.50	8.50	4.50	193	259	154	11.20	6.60	8.30	Euro 5	NULL	5	Passenger	Medium	< $60K	T	130	80	10100	13100	11950	15000	8900	10800	13500	34990	Silver	Canberra (ACT)	Auction	2016-10-13 00:00:00.000	06/2012	52	122080	11500.00
Jeep	Compass	JEEP	COMPASS	2014	0	4	MK MY14 North Wagon 5dr Spts Auto 6sp 2.0i	F	L	F	MK	MY14	North	NULL	Wagon	NULL	NULL	NULL	NULL	Front Wheel Drive	FWD	Sports Automatic	Floor	6	5	1998	2.0	4	Petrol - Unleaded ULP	Aspirated	SUV	DOHC with VVT	Piston	51	Multi-Point Injection	Electronic Sequential	NULL	2010	1C4NJCHA0ED######	2635	1663	4448	1812	NULL	1449	NULL	115.00	NULL	6300	190	NULL	5100	91	5	MKBR492FR	UNITED STATES	4	4 Stroke	In-line	Front	BD#####1	NULL	215/60 R17	215/60 R17	17x6.5	17x6.5	NULL	NULL	Roadside Assist	NULL	3	100000	NULL	NULL	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	194	NULL	NULL	11.10	6.70	8.30	NULL	NULL	NULL	SUV	Small	< $40K	T	75	45	14450	17750	16250	19900	12600	14600	18100	31000	Black	Belmore (NSW)	Auction	2016-03-02 00:00:00.000	04/2014	23	25177	17500.00
Mitsubishi	Triton	MITS	TRITON	2011	0	7	MN MY11 GLX Utility Double Cab 4dr Auto 4sp 965kg 2.5DT	F	L	F	MN	MY11	GLX	NULL	Utility	Dual Cab	NULL	NULL	NULL	Rear Wheel Drive	RWD	Automatic	Floor	4	4	2477	2.5	4	Diesel	Turbo Intercooled	CC	Double Overhead Cam	Piston	75	Direct Injection	Electronic	5185	2760	MMAJRKA40B?*#####	3000	1775	5210	1750	1796	1691	965	100.00	NULL	3800	314	NULL	2000	NULL	5	MN8H47 E12 D53	THAILAND	4	4 Stroke	In-line	Front	4D56 ***####	NULL	205/80 R16 RF	205/80 R16 RF	16x6.0	16x6.0	2500	750	5yr Roadside	NULL	5	130000	1500	NULL	12	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5.50	3.00	2.50	227	259	189	11.20	7.10	8.60	NULL	NULL	4	Light Commercial	PU/CC 4X2	NULL	T	150	90	11200	14250	13150	16250	9800	11800	14700	34590	White	Belmore (NSW)	Auction	2016-12-20 00:00:00.000	10/2011	62	49311	17100.00
Holden	Cruze	HOLD	CRUZE	2012	7	35	JH Series II MY13 CD Sedan 4dr. Spts Auto 6sp 2.0DT	F	L	F	JH Series II	MY13	CD	NULL	Sedan	NULL	NULL	NULL	NULL	Front Wheel Drive	FWD	Sports Automatic	Floor	6	4	1998	2.0	4	Diesel	Turbo Intercooled	PASS	Double Overhead Cam	Piston	60	Direct Injection	Electronic Sequential	NULL	1971	6G1P?#E**DL######	2685	1477	4615	1797	1563	NULL	NULL	120.00	NULL	3800	360	NULL	1750	NULL	5	8PD69124	AUSTRALIA	4	4 Stroke	In-line	Front	Z20S1 ###### K	NULL	205/60 R16	205/60 R16	16x6.5	16x6.5	1200	695	1yr Roadside	NULL	3	100000	15000	9	9	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3.50	176	243	137	9.20	5.20	6.70	Euro 5	NULL	5	Passenger	Small	< $40K	T	130	80	8000	10600	9400	12250	6900	8500	11100	27790	White	Sunshine (VIC)	Dealer Only Auction	2017-01-18 00:00:00.000	09/2012	52	84535	7860.00
Toyota	Hiace	TOYO	HIACE	2009	0	9	TRH223R MY08 Commuter Bus High Roof Super LWB 14st 5dr Auto 4sp 2.7i	F	L	F	TRH223R	MY08	Commuter	NULL	Bus	NULL	Extra Long Wheelbase	High Roof	NULL	Rear Wheel Drive	RWD	Automatic	Dash	4	5	2694	2.7	4	Petrol - Unleaded ULP	Aspirated	BUS	DOHC with VVT	Piston	70	Multi-Point Injection	Electronic Sequential	4550	3150	JTFHS02P700001001	3110	2285	5380	1880	2040	NULL	1110	111.00	NULL	4800	241	NULL	3800	91	14	TRH223R-LEPDKQ	JAPAN	4	4 Stroke	In-line	Front	2TR-######	NULL	195 R15 C 8PR	195 R15 C 8PR	15x6.0	15x6.0	1400	400	NULL	NULL	3	100000	5000	3	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.00	8.50	3.50	300	NULL	NULL	NULL	NULL	12.40	NULL	NULL	3	Light Commercial	Light Buses	< 20 seats	T	240	160	20200	24400	22950	27500	18000	20900	25200	54590	058 - White solid (T)	Sunshine (VIC)	Fixed Price	2017-08-21 00:00:00.000	06/2009	98	33329	24500.00
smart	city-coupe	SMAR	CITY-CO	2003	6	0	C450 pulse Coupe 3dr Seq. Mac 6sp 0.7T	F	L	F	C450	NULL	pulse	NULL	Coupe	NULL	NULL	NULL	NULL	Rear Wheel Drive	RWD	Seq. Manual Auto-Single Clutch	Column	6	3	698	0.7	3	Petrol - Premium ULP	Turbo Intercooled	PASS	Overhead Cam	Piston	33	Multi-Point Injection	Electronic Sequential	NULL	990	WME4503323J######	1812	1549	2500	1515	730	730	260	45.00	NULL	5250	95	NULL	2000	95	2	NULL	FRANCE	2	4 Stroke	In-line	Rear	15 280304-#####	15.50	145/65 R15	175/55 R15	15x4.0	15x5.5	NULL	NULL	3yr Roadside	NULL	3	-1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5.90	4.00	4.70	NULL	NULL	NULL	Passenger	Light	< $25K	T	350	210	700	3200	2150	4650	400	1900	3800	21900	Grey	Perth (WA)	Auction	2017-10-10 00:00:00.000	11/2003	167	35936	1600.00
Toyota	Camry	TOYO	CAMRY	2016	5	7	ASV50R Altise Sedan 4dr Spts Auto 6sp 2.5i (May)	F	L	F	ASV50R	NULL	Altise	NULL	Sedan	NULL	NULL	NULL	May	Front Wheel Drive	FWD	Sports Automatic	Floor	6	4	2494	2.5	4	Petrol - Unleaded ULP	Aspirated	PASS	DOHC with VVT	Piston	70	Multi-Point Injection	Electronic Sequential	3300	2100	6T1BF3FK90#######	2775	1470	4850	1835	1465	1420	635	133.00	NULL	6000	231	NULL	4100	91	5	ASV50R-DETDKQ	AUSTRALIA	4	4 Stroke	In-line	Front	2AR-#######	NULL	215/60 R16	215/60 R16	16x6.5	16x6.5	1200	500	NULL	NULL	3	100000	5000	3	9	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	183	257	140	11.10	6.00	7.90	Euro 5	E10	5	Passenger	Medium	< $60K	T	25	15	15850	19450	17750	21600	14000	16000	19700	26490	061 - Diamond White (T)	Sunshine (VIC)	Dealer Only Auction	2017-10-11 00:00:00.000	07/2016	15	38025	15000.00
Ford	Ranger	FORD	RANGER	2012	0	24	PX XL Utility Double Cab 4dr Man 6sp 4x4 1166kg 2.2DT	F	L	F	PX	NULL	XL	NULL	Utility	Dual Cab	NULL	NULL	NULL	4X4 Dual Range	4XD	Manual	Floor	6	4	2198	2.2	4	Diesel	Turbo Intercooled	CC	Double Overhead Cam	Piston	80	Direct Injection	Electronic Sequential	5950	3200	MNAUMFF80C*######	3220	1815	5359	1850	2034	2000	1166	110.00	NULL	3700	375	1500	2500	NULL	5	NULL	THAILAND	4	4 Stroke	In-line	Front	P4AT-######	NULL	255/70 R16	255/70 R16	16x7.0	16x7.0	3350	750	1 year roadside	NULL	3	100000	NULL	NULL	12	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	216	NULL	NULL	NULL	NULL	8.10	NULL	NULL	5	Light Commercial	PU/CC 4x4	NULL	T	150	100	19950	24150	22400	26850	17900	20400	24600	43890	White	Belmore (NSW)	Fixed Price	2017-08-03 00:00:00.000	08/2012	60	146772	19135.00
